Tape ID   Status    State            Usable(GB)  Used(GB)  Available(GB)  Reclaimable%  Pool        Library    Location  Task ID
B00183JE  ok        appendable            19485     19478              6            0%  gpfsODC001  BelferLib  homeslot  -      
B00184JE  ok        appendable            19485     19474             10            0%  gpfsODC001  BelferLib  homeslot  -      
B00185JE  ok        appendable            19485     19483              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00186JE  ok        appendable            19485     19478              6            0%  gpfsODC001  BelferLib  homeslot  -      
B00187JE  ok        appendable            19485     19470             14            0%  gpfsODC001  BelferLib  homeslot  -      
B00188JE  ok        appendable            19485     19483              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00189JE  ok        appendable            19485     19482              3            0%  gpfsODC001  BelferLib  homeslot  -      
B00190JE  ok        appendable            19485     19481              3            0%  gpfsODC001  BelferLib  homeslot  -      
B00191JE  ok        appendable            19485     19483              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00192JE  ok        appendable            19485     19479              6            0%  gpfsODC001  BelferLib  homeslot  -      
B00193JE  ok        appendable            19485     19479              5            0%  gpfsODC001  BelferLib  homeslot  -      
B00194JE  ok        appendable            19485     19478              7            0%  gpfsODC001  BelferLib  homeslot  -      
B00195JE  ok        appendable            19485     19483              2            0%  gpfsODC001  BelferLib  homeslot  -      
B00196JE  ok        appendable            19485     19474             10            0%  gpfsODC001  BelferLib  homeslot  -      
B00197JE  error     missing                   0         0              0            0%  gpfsODC001  BelferLib  -         -      
B00198JE  ok        appendable            19485     19471             13            0%  gpfsODC001  BelferLib  homeslot  -      
B00199JE  ok        appendable            19485     19475              9            0%  gpfsODC001  BelferLib  homeslot  -      
B00200JE  ok        appendable            19485     19471             13            0%  gpfsODC001  BelferLib  homeslot  -      
B00201JE  ok        appendable            19485     19471             13            0%  gpfsODC001  BelferLib  homeslot  -      
B00202JE  ok        appendable            19485     19482              2            0%  gpfsODC001  BelferLib  homeslot  -      
B00203JE  error     missing                   0         0              0            0%  gpfsODC001  BelferLib  -         -      
B00204JE  error     missing                   0         0              0            0%  gpfsODC001  BelferLib  -         -      
B00205JE  degraded  require_replace           0         0              0            0%  -           BelferLib  homeslot  -      
B00206JE  ok        appendable            19485     19479              5            0%  gpfsODC001  BelferLib  homeslot  -      
B00207JE  ok        appendable            19485     19470             14            0%  gpfsODC001  BelferLib  homeslot  -      
B00208JE  ok        appendable            19485     19481              3            0%  gpfsODC001  BelferLib  homeslot  -      
B00209JE  ok        appendable            19485     19465             20            0%  gpfsODC001  BelferLib  homeslot  -      
B00210JE  ok        appendable            19485     19471             14            0%  gpfsODC001  BelferLib  homeslot  -      
B00211JE  ok        appendable            19485     19467             17            0%  gpfsODC001  BelferLib  homeslot  -      
B00212JE  ok        appendable            19485     19479              6            0%  gpfsODC001  BelferLib  homeslot  -      
B00213JE  ok        appendable            19485     19477              7            0%  gpfsODC001  BelferLib  homeslot  -      
B00214JE  ok        appendable            19485     19468             16            0%  gpfsODC001  BelferLib  homeslot  -      
B00215JE  ok        appendable            19485     19474             10            0%  gpfsODC001  BelferLib  homeslot  -      
B00216JE  ok        appendable            19485     19466             19            0%  gpfsODC001  BelferLib  homeslot  -      
B00217JE  ok        appendable            19485     19474             10            0%  gpfsODC001  BelferLib  homeslot  -      
B00218JE  ok        appendable            19485     19463             21            0%  gpfsODC001  BelferLib  homeslot  -      
B00219JE  ok        appendable            19485     19465             19            0%  gpfsODC001  BelferLib  homeslot  -      
B00220JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00221JE  ok        appendable            19485     19476              9            0%  gpfsODC001  BelferLib  homeslot  -      
B00222JE  ok        appendable            19485     19474             10            0%  gpfsODC001  BelferLib  homeslot  -      
B00223JE  ok        appendable            19485     19464             20            0%  gpfsODC001  BelferLib  homeslot  -      
B00224JE  ok        appendable            19485     19476              8            0%  gpfsODC001  BelferLib  homeslot  -      
B00225JE  ok        appendable            19485     19478              6            0%  gpfsODC001  BelferLib  homeslot  -      
B00226JE  ok        appendable            19485     19468             16            0%  gpfsODC001  BelferLib  homeslot  -      
B00227JE  ok        appendable            19485     19476              8            0%  gpfsODC001  BelferLib  homeslot  -      
B00228JE  ok        appendable            19485     19478              6            0%  gpfsODC001  BelferLib  homeslot  -      
B00229JE  ok        appendable            19485     19482              3            0%  gpfsODC001  BelferLib  homeslot  -      
B00230JE  ok        appendable            19485     19468             17            0%  gpfsODC001  BelferLib  homeslot  -      
B00231JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00232JE  ok        appendable            19485     19482              2            0%  gpfsODC001  BelferLib  homeslot  -      
B00233JE  ok        appendable            19485     19475             10            0%  gpfsODC001  BelferLib  homeslot  -      
B00234JE  ok        appendable            19485     19483              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00235JE  ok        appendable            19485     19481              3            0%  gpfsODC001  BelferLib  homeslot  -      
B00236JE  ok        appendable            19485     19483              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00237JE  ok        appendable            19485     19464             21            0%  gpfsODC001  BelferLib  homeslot  -      
B00238JE  ok        appendable            19485     19466             18            0%  gpfsODC001  BelferLib  homeslot  -      
B00239JE  ok        appendable            19485     19471             13            0%  gpfsODC001  BelferLib  homeslot  -      
B00240JE  ok        appendable            19485     19471             13            0%  gpfsODC001  BelferLib  homeslot  -      
B00241JE  ok        appendable            19485     19477              7            0%  gpfsODC001  BelferLib  homeslot  -      
B00242JE  ok        appendable            19485     19477              7            0%  gpfsODC001  BelferLib  homeslot  -      
B00243JE  error     missing                   0         0              0            0%  gpfsODC001  BelferLib  -         -      
B00244JE  ok        appendable            19485     19482              3            0%  gpfsODC001  BelferLib  homeslot  -      
B00245JE  ok        appendable            19485     19473             11            0%  gpfsODC001  BelferLib  homeslot  -      
B00246JE  ok        appendable            19485     19467             17            0%  gpfsODC001  BelferLib  homeslot  -      
B00247JE  ok        appendable            19485     19464             20            0%  gpfsODC001  BelferLib  homeslot  -      
B00248JE  ok        appendable            19485     19478              7            0%  gpfsODC001  BelferLib  homeslot  -      
B00249JE  ok        appendable            19485     19482              2            0%  gpfsODC001  BelferLib  homeslot  -      
B00250JE  ok        appendable            19485     19475              9            0%  gpfsODC001  BelferLib  homeslot  -      
B00251JE  ok        appendable            19485     19474             10            0%  gpfsODC001  BelferLib  homeslot  -      
B00252JE  ok        appendable            19485     19484              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00253JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00254JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00255JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00256JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00257JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00258JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00259JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00260JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00261JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00262JE  ok        appendable            19485     19464             20            0%  gpfsODC001  BelferLib  homeslot  -      
B00263JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00264JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00265JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00266JE  ok        appendable            19485     19469             15            0%  gpfsODC001  BelferLib  homeslot  -      
B00267JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00268JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00269JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00270JE  ok        appendable            19485     19483              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00271JE  ok        appendable            19485     19479              5            0%  gpfsODC001  BelferLib  homeslot  -      
B00272JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00273JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00274JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00275JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00276JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00277JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00278JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00279JE  error     missing                   0         0              0            0%  gpfsODC001  BelferLib  -         -      
B00280JE  ok        appendable            19485     19477              7            0%  gpfsODC001  BelferLib  homeslot  -      
B00281JE  ok        appendable            19485     19472             12            0%  gpfsODC001  BelferLib  homeslot  -      
B00282JE  ok        appendable            19485     19464             21            0%  gpfsODC001  BelferLib  homeslot  -      
B00283JE  ok        appendable            19485     19480              4            0%  gpfsODC001  BelferLib  homeslot  -      
B00284JE  ok        appendable            19485     19470             14            0%  gpfsODC001  BelferLib  homeslot  -      
B00285JE  ok        appendable            19485     19465             19            0%  gpfsODC001  BelferLib  homeslot  -      
B00286JE  ok        appendable            19485     19476              8            0%  gpfsODC001  BelferLib  homeslot  -      
B00287JE  ok        appendable            19485     19483              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00288JE  ok        appendable            19485     19470             14            0%  gpfsODC001  BelferLib  homeslot  -      
B00289JE  ok        appendable            19485     19468             16            0%  gpfsODC001  BelferLib  homeslot  -      
B00290JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00291JE  ok        appendable            19485     19475             10            0%  gpfsODC001  BelferLib  homeslot  -      
B00292JE  ok        appendable            19485     19465             19            0%  gpfsODC001  BelferLib  homeslot  -      
B00293JE  ok        data_full             19485     19484              0            0%  gpfsODC001  BelferLib  homeslot  -      
B00294JE  ok        appendable            19485     19479              5            0%  gpfsODC001  BelferLib  homeslot  -      
B00295JE  ok        appendable            19485     19483              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00296JE  ok        appendable            19485     19465             20            0%  gpfsODC001  BelferLib  homeslot  -      
B00297JE  ok        appendable            19485     19463             22            0%  gpfsODC001  BelferLib  homeslot  -      
B00298JE  ok        appendable            19485     19475             10            0%  gpfsODC001  BelferLib  homeslot  -      
B00299JE  ok        appendable            19485     19466             18            0%  gpfsODC001  BelferLib  homeslot  -      
B00300JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00301JE  ok        unassigned                0         0              0            0%  -           BelferLib  ieslot    -      
B00302JE  ok        unassigned                0         0              0            0%  -           BelferLib  ieslot    -      
